"name","kind","level","roles","notes"
"auth","middleware","authenticated","all authenticated users","Session authentication required"
"verified","middleware","verified","authenticated users with verified email","Email verification required"
"accessBackofficeArea","gate","specific_roles_plus_admin","developer|manager|logistic|admin","Area gate for backoffice/logistic resources"
"accessWarehouseArea","gate","specific_roles_plus_admin","developer|manager|logistic|warehouse_chief|warehouse_manager|warehouse_worker|admin","Area gate for warehouse resources"
"accessDriverArea","gate","specific_roles_plus_admin","developer|manager|logistic|driver|admin","Area gate for driver resources"
"useLogisticsNlp","gate","specific_roles_plus_admin","developer|manager|logistic|admin","NLP parsing access"
"authorizeDriver","controller_check","ownership","assigned driver only","Driver must match journey.driver_id"
"warehouseManage","policy_ability","specific_roles_plus_admin","developer|manager|logistic|warehouse_chief|warehouse_manager|warehouse_worker|admin","Warehouse and control operations on Order/Journey"
"manageCredentials","policy_ability","specific_roles_plus_admin","developer|manager|logistic|admin","User credential operations"
"dispatchWorkspaceView","policy_ability","specific_roles_or_ownership_or_admin","developer|manager|logistic|warehouse_chief|warehouse_manager|warehouse_worker|assigned_driver|admin","View dispatch workspace"
"dispatchWorkspaceSave","policy_ability","specific_roles_plus_admin","developer|manager|logistic|admin","Save dispatch workspace"
"dispatchWorkspaceConfirm","policy_ability","specific_roles_plus_admin","developer|manager|logistic|admin","Confirm dispatch workspace"
"dispatchWorkspaceClose","policy_ability","specific_roles_plus_admin","developer|manager|logistic|admin","Close dispatch workspace"
"dispatchTransshipmentApprove","policy_ability","specific_roles_plus_admin","developer|manager|logistic|admin","Approve/cancel transshipments"
"dispatchWorkspaceAppendWarehouseEvent","policy_ability","specific_roles_plus_admin","developer|manager|logistic|warehouse_chief|warehouse_manager|warehouse_worker|admin","Append warehouse event"
"dispatchWorkspaceAppendTransshipmentProposal","policy_ability","specific_roles_plus_admin","developer|manager|logistic|warehouse_chief|warehouse_manager|warehouse_worker|admin","Append transshipment proposal"
"dispatchWorkspaceAppendLogisticEvent","policy_ability","specific_roles_plus_admin","developer|manager|logistic|admin","Append logistic event"
