"resource","read_roles","create_roles","update_roles","delete_roles","read_level","write_level","notes"
"Cargo","developer|manager|logistic|admin","developer|manager|logistic|admin","developer|manager|logistic|admin","developer|manager|logistic|admin","specific_roles_plus_admin","specific_roles_plus_admin","Backoffice master data"
"Customer","developer|manager|logistic|admin","developer|manager|logistic|admin","developer|manager|logistic|admin","developer|manager|logistic|admin","specific_roles_plus_admin","specific_roles_plus_admin","authorizeResource active"
"Holder","developer|manager|logistic|admin","developer|manager|logistic|admin","developer|manager|logistic|admin","developer|manager|logistic|admin","specific_roles_plus_admin","specific_roles_plus_admin","Backoffice master data"
"Site","developer|manager|logistic|admin","developer|manager|logistic|admin","developer|manager|logistic|admin","developer|manager|logistic|admin","specific_roles_plus_admin","specific_roles_plus_admin","Backoffice site domain"
"Trailer","developer|manager|logistic|admin","developer|manager|logistic|admin","developer|manager|logistic|admin","developer|manager|logistic|admin","specific_roles_plus_admin","specific_roles_plus_admin","authorizeResource active"
"Vehicle","developer|manager|logistic|admin","developer|manager|logistic|admin","developer|manager|logistic|admin","developer|manager|logistic|admin","specific_roles_plus_admin","specific_roles_plus_admin","authorizeResource active"
"Withdraw","developer|manager|logistic|admin","developer|manager|logistic|admin","developer|manager|logistic|admin","developer|manager|logistic|admin","specific_roles_plus_admin","specific_roles_plus_admin","Backoffice only"
"User","developer|manager|logistic|admin","developer|manager|logistic|admin","developer|manager|logistic|admin","developer|manager|logistic|admin_except_self","specific_roles_plus_admin","specific_roles_plus_admin","manageCredentials for password/reset/verify operations"
"CatalogItem","developer|manager|logistic|warehouse_chief|warehouse_manager|warehouse_worker|admin","developer|manager|logistic|admin","developer|manager|logistic|admin","developer|manager|logistic|admin","specific_roles_plus_admin","control_roles_plus_admin","Warehouse read-only, control full write"
"Recipe","developer|manager|logistic|warehouse_chief|warehouse_manager|warehouse_worker|admin","developer|manager|logistic|admin","developer|manager|logistic|admin","developer|manager|logistic|admin","specific_roles_plus_admin","control_roles_plus_admin","Warehouse read-only, control full write"
"Order","developer|manager|logistic|warehouse_chief|warehouse_manager|warehouse_worker|assigned_driver|admin","developer|manager|logistic|driver|admin","developer|manager|logistic|assigned_driver|admin","developer|manager|logistic|admin","specific_roles_or_ownership_or_admin","mixed","warehouseManage covers warehouse operations"
"Journey","developer|manager|logistic|warehouse_chief|warehouse_manager|warehouse_worker|assigned_driver|admin","developer|manager|logistic|admin","developer|manager|logistic|assigned_driver|admin","developer|manager|logistic|admin","specific_roles_or_ownership_or_admin","mixed","Dispatch uses dedicated Journey policy abilities"
"Notification","owner_only","n/a","owner_only","n/a","ownership","ownership","Notification seen/update only"
